BIOGUIDE_ID,CATEGORY,AMOUNT,full_name,state,district,party,geoid
S001211,TRAVEL,17677.12,Greg Stanton,AZ,9,Democrat,409
C001087,EQUIPMENT,23924.63,"Eric A. ""Rick"" Crawford",AR,1,Republican,501
C001087,FRANKED MAIL,2986.53,"Eric A. ""Rick"" Crawford",AR,1,Republican,501
C001087,OTHER SERVICES,73566.64,"Eric A. ""Rick"" Crawford",AR,1,Republican,501
C001087,PERSONNEL COMPENSATION,1169849.81,"Eric A. ""Rick"" Crawford",AR,1,Republican,501
C001087,PRINTING AND REPRODUCTION,437.87,"Eric A. ""Rick"" Crawford",AR,1,Republican,501
C001087,RENT  COMMUNICATION  UTILITIES,103181.7,"Eric A. ""Rick"" Crawford",AR,1,Republican,501
C001087,SUPPLIES AND MATERIALS,20738.38,"Eric A. ""Rick"" Crawford",AR,1,Republican,501
C001087,TRAVEL,30954.31,"Eric A. ""Rick"" Crawford",AR,1,Republican,501
H001072,EQUIPMENT,20513.72,J. Hill,AR,2,Republican,502
H001072,FRANKED MAIL,27327.54,J. Hill,AR,2,Republican,502
H001072,OTHER SERVICES,74109.49,J. Hill,AR,2,Republican,502
H001072,PERSONNEL COMPENSATION,959646.52,J. Hill,AR,2,Republican,502
H001072,PRINTING AND REPRODUCTION,74013.98,J. Hill,AR,2,Republican,502
H001072,RENT  COMMUNICATION  UTILITIES,125418.24,J. Hill,AR,2,Republican,502
H001072,SUPPLIES AND MATERIALS,14683.61,J. Hill,AR,2,Republican,502
H001072,TRAVEL,32111.94,J. Hill,AR,2,Republican,502
W000809,EQUIPMENT,16605.9,Steve Womack,AR,3,Republican,503
W000809,FRANKED MAIL,2069.02,Steve Womack,AR,3,Republican,503
W000809,OTHER SERVICES,32652.07,Steve Womack,AR,3,Republican,503
W000809,PERSONNEL COMPENSATION,1109095.41,Steve Womack,AR,3,Republican,503
W000809,PRINTING AND REPRODUCTION,11436.16,Steve Womack,AR,3,Republican,503
W000809,RENT  COMMUNICATION  UTILITIES,94787.74,Steve Womack,AR,3,Republican,503
W000809,SUPPLIES AND MATERIALS,35397.41,Steve Womack,AR,3,Republican,503
W000809,TRAVEL,44735.98,Steve Womack,AR,3,Republican,503
W000821,EQUIPMENT,9666.07,Bruce Westerman,AR,4,Republican,504
W000821,FRANKED MAIL,17472.98,Bruce Westerman,AR,4,Republican,504
W000821,OTHER SERVICES,34535.95,Bruce Westerman,AR,4,Republican,504
W000821,PERSONNEL COMPENSATION,1068175.19,Bruce Westerman,AR,4,Republican,504
W000821,PRINTING AND REPRODUCTION,10234.5,Bruce Westerman,AR,4,Republican,504
W000821,RENT  COMMUNICATION  UTILITIES,83848.32,Bruce Westerman,AR,4,Republican,504
W000821,SUPPLIES AND MATERIALS,28361.04,Bruce Westerman,AR,4,Republican,504
W000821,TRAVEL,33092.95,Bruce Westerman,AR,4,Republican,504
L000578,EQUIPMENT,15542.01,Doug LaMalfa,CA,1,Republican,601
L000578,FRANKED MAIL,58565.85,Doug LaMalfa,CA,1,Republican,601
L000578,OTHER SERVICES,45359.32,Doug LaMalfa,CA,1,Republican,601
L000578,PERSONNEL COMPENSATION,1052409.47,Doug LaMalfa,CA,1,Republican,601
L000578,PRINTING AND REPRODUCTION,78204.38,Doug LaMalfa,CA,1,Republican,601
L000578,RENT  COMMUNICATION  UTILITIES,116874.99,Doug LaMalfa,CA,1,Republican,601
L000578,SUPPLIES AND MATERIALS,11702.16,Doug LaMalfa,CA,1,Republican,601
L000578,TRAVEL,43127.34,Doug LaMalfa,CA,1,Republican,601
H001068,EQUIPMENT,39884,Jared Huffman,CA,2,Democrat,602
H001068,FRANKED MAIL,1048.32,Jared Huffman,CA,2,Democrat,602
H001068,OTHER SERVICES,28680,Jared Huffman,CA,2,Democrat,602
H001068,PERSONNEL COMPENSATION,1182415.35,Jared Huffman,CA,2,Democrat,602
H001068,PRINTING AND REPRODUCTION,916.16,Jared Huffman,CA,2,Democrat,602
H001068,RENT  COMMUNICATION  UTILITIES,136385.47,Jared Huffman,CA,2,Democrat,602
H001068,SUPPLIES AND MATERIALS,43739.09,Jared Huffman,CA,2,Democrat,602
H001068,TRAVEL,23422.36,Jared Huffman,CA,2,Democrat,602
G000559,EQUIPMENT,27058.78,John Garamendi,CA,3,Democrat,603
G000559,FRANKED MAIL,155701.52,John Garamendi,CA,3,Democrat,603
G000559,OTHER SERVICES,24136.54,John Garamendi,CA,3,Democrat,603
G000559,PERSONNEL COMPENSATION,904024.85,John Garamendi,CA,3,Democrat,603
G000559,PRINTING AND REPRODUCTION,135788.86,John Garamendi,CA,3,Democrat,603
G000559,RENT  COMMUNICATION  UTILITIES,142715.39,John Garamendi,CA,3,Democrat,603
G000559,SUPPLIES AND MATERIALS,34022.1,John Garamendi,CA,3,Democrat,603
G000559,TRAVEL,18718.92,John Garamendi,CA,3,Democrat,603
M001177,EQUIPMENT,3631.57,Tom McClintock,CA,4,Republican,604
M001177,FRANKED MAIL,60155.93,Tom McClintock,CA,4,Republican,604
M001177,OTHER SERVICES,22740,Tom McClintock,CA,4,Republican,604
M001177,PERSONNEL COMPENSATION,928540.57,Tom McClintock,CA,4,Republican,604
M001177,PRINTING AND REPRODUCTION,49233.03,Tom McClintock,CA,4,Republican,604
M001177,RENT  COMMUNICATION  UTILITIES,133534.2,Tom McClintock,CA,4,Republican,604
M001177,SUPPLIES AND MATERIALS,40640.93,Tom McClintock,CA,4,Republican,604
M001177,TRAVEL,20096.96,Tom McClintock,CA,4,Republican,604
T000460,EQUIPMENT,13596.22,Mike Thompson,CA,5,Democrat,605
T000460,FRANKED MAIL,1700.89,Mike Thompson,CA,5,Democrat,605
T000460,OTHER SERVICES,42776.31,Mike Thompson,CA,5,Democrat,605
T000460,PERSONNEL COMPENSATION,1257680.25,Mike Thompson,CA,5,Democrat,605
T000460,PRINTING AND REPRODUCTION,4876.72,Mike Thompson,CA,5,Democrat,605
T000460,RENT  COMMUNICATION  UTILITIES,84918.44,Mike Thompson,CA,5,Democrat,605
T000460,SUPPLIES AND MATERIALS,18543.27,Mike Thompson,CA,5,Democrat,605
T000460,TRAVEL,31657.36,Mike Thompson,CA,5,Democrat,605
M001163,EQUIPMENT,7774.8,Doris O. Matsui,CA,6,Democrat,606
M001163,FRANKED MAIL,789.83,Doris O. Matsui,CA,6,Democrat,606
M001163,OTHER SERVICES,36595.2,Doris O. Matsui,CA,6,Democrat,606
M001163,PERSONNEL COMPENSATION,1128972.33,Doris O. Matsui,CA,6,Democrat,606
M001163,RENT  COMMUNICATION  UTILITIES,138706.6,Doris O. Matsui,CA,6,Democrat,606
M001163,SUPPLIES AND MATERIALS,53493.28,Doris O. Matsui,CA,6,Democrat,606
M001163,TRAVEL,4855.96,Doris O. Matsui,CA,6,Democrat,606
B001287,EQUIPMENT,31288.68,Ami Bera,CA,7,Democrat,607
B001287,FRANKED MAIL,34237.91,Ami Bera,CA,7,Democrat,607
B001287,OTHER SERVICES,22020,Ami Bera,CA,7,Democrat,607
B001287,PERSONNEL COMPENSATION,1051367.63,Ami Bera,CA,7,Democrat,607
B001287,PRINTING AND REPRODUCTION,80466.59,Ami Bera,CA,7,Democrat,607
B001287,RENT  COMMUNICATION  UTILITIES,129407.15,Ami Bera,CA,7,Democrat,607
B001287,SUPPLIES AND MATERIALS,38802.33,Ami Bera,CA,7,Democrat,607
B001287,TRANSPORTATION OF THINGS,2900,Ami Bera,CA,7,Democrat,607
B001287,TRAVEL,12940.68,Ami Bera,CA,7,Democrat,607
C001094,EQUIPMENT,3451.26,Paul Cook,CA,8,Republican,608
C001094,FRANKED MAIL,72534.98,Paul Cook,CA,8,Republican,608
C001094,OTHER SERVICES,42663,Paul Cook,CA,8,Republican,608
C001094,PERSONNEL COMPENSATION,1101488.57,Paul Cook,CA,8,Republican,608
C001094,PRINTING AND REPRODUCTION,71004.53,Paul Cook,CA,8,Republican,608
C001094,RENT  COMMUNICATION  UTILITIES,45499.34,Paul Cook,CA,8,Republican,608
C001094,SUPPLIES AND MATERIALS,7192.34,Paul Cook,CA,8,Republican,608
C001094,TRAVEL,26114.72,Paul Cook,CA,8,Republican,608
M001166,EQUIPMENT,25057.68,Jerry McNerney,CA,9,Democrat,609
M001166,FRANKED MAIL,676.38,Jerry McNerney,CA,9,Democrat,609
M001166,OTHER SERVICES,27983.5,Jerry McNerney,CA,9,Democrat,609
M001166,PERSONNEL COMPENSATION,1092519.12,Jerry McNerney,CA,9,Democrat,609
M001166,PRINTING AND REPRODUCTION,119.85,Jerry McNerney,CA,9,Democrat,609
M001166,RENT  COMMUNICATION  UTILITIES,125229.61,Jerry McNerney,CA,9,Democrat,609
M001166,SUPPLIES AND MATERIALS,50648.53,Jerry McNerney,CA,9,Democrat,609
M001166,TRAVEL,15525.49,Jerry McNerney,CA,9,Democrat,609
H001090,EQUIPMENT,22288.88,Josh Harder,CA,10,Democrat,610
H001090,FRANKED MAIL,74945.78,Josh Harder,CA,10,Democrat,610
H001090,OTHER SERVICES,22791,Josh Harder,CA,10,Democrat,610
H001090,PERSONNEL COMPENSATION,1024008.43,Josh Harder,CA,10,Democrat,610
H001090,PRINTING AND REPRODUCTION,148432.93,Josh Harder,CA,10,Democrat,610
H001090,RENT  COMMUNICATION  UTILITIES,134695.92,Josh Harder,CA,10,Democrat,610
H001090,SUPPLIES AND MATERIALS,27509.4,Josh Harder,CA,10,Democrat,610
H001090,TRAVEL,21730.76,Josh Harder,CA,10,Democrat,610
D000623,EQUIPMENT,7617,Mark DeSaulnier,CA,11,Democrat,611
D000623,FRANKED MAIL,31660.01,Mark DeSaulnier,CA,11,Democrat,611
D000623,OTHER SERVICES,28581.68,Mark DeSaulnier,CA,11,Democrat,611
D000623,PERSONNEL COMPENSATION,820696.6,Mark DeSaulnier,CA,11,Democrat,611
D000623,PRINTING AND REPRODUCTION,54720.23,Mark DeSaulnier,CA,11,Democrat,611
D000623,RENT  COMMUNICATION  UTILITIES,162430.53,Mark DeSaulnier,CA,11,Democrat,611
D000623,SUPPLIES AND MATERIALS,41194.51,Mark DeSaulnier,CA,11,Democrat,611
D000623,TRAVEL,7091.66,Mark DeSaulnier,CA,11,Democrat,611
P000197,EQUIPMENT,10882,Nancy Pelosi,CA,12,Democrat,612
P000197,FRANKED MAIL,1438.54,Nancy Pelosi,CA,12,Democrat,612
P000197,OTHER SERVICES,57816.27,Nancy Pelosi,CA,12,Democrat,612
P000197,PERSONNEL COMPENSATION,1004669.6,Nancy Pelosi,CA,12,Democrat,612
P000197,PRINTING AND REPRODUCTION,4479.23,Nancy Pelosi,CA,12,Democrat,612
P000197,RENT  COMMUNICATION  UTILITIES,242723.77,Nancy Pelosi,CA,12,Democrat,612
P000197,SUPPLIES AND MATERIALS,4858,Nancy Pelosi,CA,12,Democrat,612
P000197,TRAVEL,16018.85,Nancy Pelosi,CA,12,Democrat,612
L000551,EQUIPMENT,32144.56,Barbara Lee,CA,13,Democrat,613
L000551,FRANKED MAIL,229.81,Barbara Lee,CA,13,Democrat,613
L000551,OTHER SERVICES,70589.4,Barbara Lee,CA,13,Democrat,613
L000551,PERSONNEL COMPENSATION,1009466.53,Barbara Lee,CA,13,Democrat,613
L000551,PRINTING AND REPRODUCTION,2312.13,Barbara Lee,CA,13,Democrat,613
L000551,RENT  COMMUNICATION  UTILITIES,183403.31,Barbara Lee,CA,13,Democrat,613
L000551,SUPPLIES AND MATERIALS,32191.8,Barbara Lee,CA,13,Democrat,613
L000551,TRAVEL,23717.98,Barbara Lee,CA,13,Democrat,613
S001175,EQUIPMENT,23157.37,Jackie Speier,CA,14,Democrat,614
S001175,FRANKED MAIL,275.56,Jackie Speier,CA,14,Democrat,614
S001175,OTHER SERVICES,44970.57,Jackie Speier,CA,14,Democrat,614
S001175,PERSONNEL COMPENSATION,1101041.48,Jackie Speier,CA,14,Democrat,614
S001175,PRINTING AND REPRODUCTION,1358.03,Jackie Speier,CA,14,Democrat,614
S001175,RENT  COMMUNICATION  UTILITIES,171841.91,Jackie Speier,CA,14,Democrat,614
S001175,SUPPLIES AND MATERIALS,31944.01,Jackie Speier,CA,14,Democrat,614
S001175,TRAVEL,16202.18,Jackie Speier,CA,14,Democrat,614
S001193,EQUIPMENT,18025.37,Eric Swalwell,CA,15,Democrat,615
S001193,FRANKED MAIL,28007.28,Eric Swalwell,CA,15,Democrat,615
S001193,OTHER SERVICES,44461.21,Eric Swalwell,CA,15,Democrat,615
S001193,PERSONNEL COMPENSATION,1182987.4,Eric Swalwell,CA,15,Democrat,615
S001193,PRINTING AND REPRODUCTION,27320.84,Eric Swalwell,CA,15,Democrat,615
S001193,RENT  COMMUNICATION  UTILITIES,75588.27,Eric Swalwell,CA,15,Democrat,615
S001193,SUPPLIES AND MATERIALS,9424.71,Eric Swalwell,CA,15,Democrat,615
S001193,TRAVEL,18947.27,Eric Swalwell,CA,15,Democrat,615
C001059,EQUIPMENT,13433.34,Jim Costa,CA,16,Democrat,616
C001059,FRANKED MAIL,665.13,Jim Costa,CA,16,Democrat,616
C001059,OTHER SERVICES,41348,Jim Costa,CA,16,Democrat,616
C001059,PERSONNEL COMPENSATION,1044942.88,Jim Costa,CA,16,Democrat,616
C001059,PRINTING AND REPRODUCTION,5774.84,Jim Costa,CA,16,Democrat,616
C001059,RENT  COMMUNICATION  UTILITIES,173892.24,Jim Costa,CA,16,Democrat,616
C001059,SUPPLIES AND MATERIALS,62163.55,Jim Costa,CA,16,Democrat,616
C001059,TRAVEL,38548.66,Jim Costa,CA,16,Democrat,616
K000389,EQUIPMENT,14037.79,Ro Khanna,CA,17,Democrat,617
K000389,FRANKED MAIL,13789.91,Ro Khanna,CA,17,Democrat,617
K000389,OTHER SERVICES,44900,Ro Khanna,CA,17,Democrat,617
K000389,PERSONNEL COMPENSATION,1111100.14,Ro Khanna,CA,17,Democrat,617
K000389,PRINTING AND REPRODUCTION,14232.52,Ro Khanna,CA,17,Democrat,617
K000389,RENT  COMMUNICATION  UTILITIES,85775.11,Ro Khanna,CA,17,Democrat,617
K000389,SUPPLIES AND MATERIALS,38990.18,Ro Khanna,CA,17,Democrat,617
K000389,TRAVEL,3201.66,Ro Khanna,CA,17,Democrat,617
E000215,EQUIPMENT,21880.33,Anna G. Eshoo,CA,18,Democrat,618
E000215,FRANKED MAIL,2014.53,Anna G. Eshoo,CA,18,Democrat,618
E000215,OTHER SERVICES,24250.28,Anna G. Eshoo,CA,18,Democrat,618
E000215,PERSONNEL COMPENSATION,1110340.87,Anna G. Eshoo,CA,18,Democrat,618
E000215,PRINTING AND REPRODUCTION,1130.86,Anna G. Eshoo,CA,18,Democrat,618
E000215,RENT  COMMUNICATION  UTILITIES,234570.49,Anna G. Eshoo,CA,18,Democrat,618
E000215,SUPPLIES AND MATERIALS,18843.51,Anna G. Eshoo,CA,18,Democrat,618
E000215,TRAVEL,21039.48,Anna G. Eshoo,CA,18,Democrat,618
L000397,EQUIPMENT,15624.38,Zoe Lofgren,CA,19,Democrat,619
L000397,FRANKED MAIL,1563.46,Zoe Lofgren,CA,19,Democrat,619
L000397,OTHER SERVICES,55162.5,Zoe Lofgren,CA,19,Democrat,619
L000397,PERSONNEL COMPENSATION,1220439.33,Zoe Lofgren,CA,19,Democrat,619
L000397,PRINTING AND REPRODUCTION,182.85,Zoe Lofgren,CA,19,Democrat,619
L000397,RENT  COMMUNICATION  UTILITIES,117767.7,Zoe Lofgren,CA,19,Democrat,619
L000397,SUPPLIES AND MATERIALS,14869.18,Zoe Lofgren,CA,19,Democrat,619
L000397,TRANSPORTATION OF THINGS,227.68,Zoe Lofgren,CA,19,Democrat,619
L000397,TRAVEL,6832.97,Zoe Lofgren,CA,19,Democrat,619
P000613,EQUIPMENT,24897.65,Jimmy Panetta,CA,20,Democrat,620
P000613,FRANKED MAIL,647.21,Jimmy Panetta,CA,20,Democrat,620
P000613,OTHER SERVICES,46341.03,Jimmy Panetta,CA,20,Democrat,620
P000613,PERSONNEL COMPENSATION,1019475.03,Jimmy Panetta,CA,20,Democrat,620
